,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4462305219,432,420,13,1592744440279,DUO_SUPPORT,NONE
1,KR,4461446801,43,420,13,1592726648248,DUO_SUPPORT,BOTTOM
2,KR,4461148142,432,420,13,1592718100499,DUO_SUPPORT,BOTTOM
3,KR,4460642282,432,420,13,1592674337893,DUO_SUPPORT,BOTTOM
4,KR,4460562475,432,420,13,1592670370610,DUO_SUPPORT,BOTTOM
0,KR,4460748188,523,430,13,1592692361888,DUO,MID
1,KR,4460737538,523,430,13,1592690432850,DUO_CARRY,BOTTOM
2,KR,4460746014,56,430,13,1592687391427,SOLO,MID
3,KR,4458043835,29,430,13,1592583551143,DUO,NONE
4,KR,4457978836,84,430,13,1592581908075,SOLO,TOP
0,KR,4461306257,134,430,13,1592723110063,SOLO,MID
1,KR,4461248309,64,430,13,1592721180285,NONE,JUNGLE
2,KR,4458236241,875,420,13,1592600099535,SOLO,TOP
3,KR,4453974905,42,440,13,1592403776476,SOLO,MID
4,KR,4453837481,112,440,13,1592401318785,DUO_CARRY,BOTTOM
0,KR,4462300773,107,420,13,1592743167880,SOLO,TOP
1,KR,4462233212,107,420,13,1592741382001,SOLO,TOP
2,KR,4462144212,107,420,13,1592738737783,NONE,JUNGLE
3,KR,4462101236,107,420,13,1592737360133,DUO_SUPPORT,NONE
4,KR,4461922171,107,420,13,1592731581925,SOLO,TOP
0,KR,4461860662,429,420,13,1592728066675,DUO,MID
1,KR,4459270596,15,420,13,1592639013077,DUO_CARRY,BOTTOM
2,KR,4459086907,39,430,13,1592634606390,SOLO,MID
3,KR,4453271096,81,420,13,1592375670284,DUO_CARRY,BOTTOM
4,KR,4453145642,81,420,13,1592373119408,DUO,MID
0,KR,4457706221,80,420,13,1592575240836,DUO_SUPPORT,BOTTOM
1,KR,4457206282,235,420,13,1592562753568,DUO_SUPPORT,NONE
2,KR,4457222777,80,420,13,1592561380215,DUO_SUPPORT,NONE
3,KR,4456703637,117,420,13,1592548974346,DUO_SUPPORT,BOTTOM
4,KR,4456629678,79,420,13,1592547325160,DUO_SUPPORT,BOTTOM
0,KR,4460609780,60,420,13,1592678184927,NONE,JUNGLE
1,KR,4460615179,76,420,13,1592675657046,DUO_SUPPORT,NONE
2,KR,4460589397,245,420,13,1592673039120,NONE,JUNGLE
3,KR,4459344477,22,420,13,1592643407146,DUO_CARRY,BOTTOM
4,KR,4459321934,104,420,13,1592642427779,DUO,NONE
